CompanyName,RightStock?,CMP,PriceChange%,MarketCap,52WHigh,52WLow,ROE,P/E,P/BV,EV/EBITDA
Zee Entertainment Enterprises Ltd.,Very Good,164.8,23.72,12794.0,468.0,131.7,19.19,8.07,1.3,4.67
Oil & Natural Gas Corporation Ltd.,Very Good,65.95,9.83,75545.0,178.9,51.8,13.65,3.71,0.35,2.93
Yes Bank Ltd.,Not Good,60.8,3.67,14959.0,285.9,5.55,6.53,0.0,1.62,0
ITC Ltd.,Very Good,150.7,0.97,183.0,310.0,134.9,22.0,12.37,3.0,9.59
State Bank Of India,Very Good,214.7,-0.12,191.0,373.7,184.2,0.44,16.33,0.92,0
Tata Consultancy Services Ltd.,Very Good,1651.0,-0.44,622.0,2296.0,1504.0,34.87,19.19,6.04,14.69
Tata Steel Ltd.,SomewhatGood,280.9,-0.5,33992.0,560.4,252.2,15.3,3.51,0.44,3.02
Coal India Ltd.,Very Good,145.2,-0.51,89914.0,270.9,127.0,74.93,4.97,2.37,2.4
Indian Oil Corporation Ltd.,SomewhatGood,88.05,-1.57,84210.0,170.4,77.0,16.4,6.68,0.76,4.58
Sun Pharmaceutical Industries Ltd.,Very Good,362.5,-2.17,88907.0,484.1,336.6,8.79,22.22,2.0,13.7
Wipro Ltd.,Very Good,169.8,-2.3,99297.0,301.6,170.1,16.52,10.05,1.85,6.14
Vedanta Ltd.,SomewhatGood,73.0,-2.67,27879.0,195.0,68.95,9.95,3.29,0.41,2.4
Tech Mahindra Ltd.,Very Good,579.3,-2.7,57504.0,846.0,550.0,19.78,13.18,2.61,7.98
ICICI Bank Ltd.,Very Good,356.0,-2.96,237.0,552.4,364.1,3.24,30.92,2.12,0
Tata Motors Ltd.,SomewhatGood,75.5,-3.08,24063.0,239.3,77.5,-11.41,0.0,0.42,3.63
Adani Ports and Special Economic Zone Ltd.,SomewhatGood,259.1,-3.09,54319.0,430.0,234.6,19.18,11.52,2.07,10.66
HCL Technologies Ltd.,Very Good,437.2,-3.33,122.0,624.0,400.0,25.41,11.76,2.51,8.39
Axis Bank Ltd.,Very Good,472.6,-3.36,137.0,826.5,461.4,7.19,30.53,1.6,0
Infosys Ltd.,Very Good,535.0,-3.7,236.0,847.4,550.1,23.38,14.47,3.64,10.43
Cipla Ltd.,Very Good,386.7,-3.75,32391.0,585.5,356.8,12.03,13.8,1.88,12.1
Reliance Industries Ltd.,SomewhatGood,968.9,-3.97,639.0,1618.0,939.9,11.37,14.75,1.53,9.96
Hindustan Unilever Ltd.,Very Good,1927.0,-4.06,434.0,2307.0,1650.0,80.17,63.92,45.0,48.26
Bajaj Auto Ltd.,Very Good,2175.0,-4.37,65808.0,3315.0,2011.0,21.27,12.5,2.64,12.72
Dr. Reddys Laboratories Ltd.,Very Good,2668.0,-4.42,46381.0,3363.0,2352.0,13.76,27.28,3.12,15.02
Maruti Suzuki India Ltd.,Very Good,5353.0,-4.47,169.0,7755.0,4798.0,13.63,27.38,3.51,14.78
GAIL (India) Ltd.,Very Good,71.0,-4.57,33555.0,183.2,67.1,14.28,7.1,0.73,3.47
Ultratech Cement Ltd.,Very Good,3307.0,-4.77,100.0,4904.0,3250.0,8.44,28.38,3.29,17.91
Grasim Industries Ltd.,SomewhatGood,527.7,-5.11,36580.0,958.5,507.4,6.05,9.02,0.63,6.81
Hindalco Industries Ltd.,Not Good,109.3,-5.12,25876.0,221.2,102.2,9.51,6.05,0.45,4.18
Larsen & Toubro Ltd.,SomewhatGood,904.0,-5.35,134.0,1607.0,890.1,12.3,20.37,2.48,15.76
Bharti Airtel Ltd.,SomewhatGood,426.2,-6.14,247.0,568.6,292.1,-3.8,0.0,2.29,30.45
Eicher Motors Ltd.,Very Good,15965.0,-6.56,46652.0,23428.0,15197.0,27.69,22.56,4.66,14.91
Bharat Petroleum Corporation Ltd.,Very Good,333.3,-6.6,77410.0,549.7,293.4,20.99,10.8,1.99,8.0
Asian Paints Ltd.,Very Good,1617.0,-6.78,166.0,1916.0,1291.0,24.01,61.24,15.36,46.76
Nestle India Ltd.,Very Good,13513.0,-7.07,140.0,16840.0,10126.0,45.54,71.19,72.56,51.98
Titan Company Ltd.,Very Good,930.4,-7.12,88930.0,1390.0,945.0,25.08,61.1,13.29,45.02
JSW Steel Ltd.,SomewhatGood,163.8,-7.14,42652.0,313.4,172.6,27.18,6.29,1.11,4.19
Britannia Industries Ltd.,Very Good,2500.0,-7.14,64726.0,3444.0,2302.0,29.05,48.85,16.23,36.93
Mahindra & Mahindra Ltd.,Very Good,346.9,-7.37,46559.0,703.8,370.0,14.95,9.94,1.26,6.38
Housing Development Finance Corporation Ltd.,Very Good,1624.0,-7.47,303.0,2500.0,1700.0,13.71,16.52,3.37,0
